currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
1,Chris Deotte,/cdeotte,grandmaster,1031.0,2018-03-14T22:51:30.63Z,8,8,22
2,SRK,/sudalairajkumar,grandmaster,1001.0,2012-11-28T14:13:45.6Z,5,5,3
3,Larxel,/andrewmvd,grandmaster,880.0,2016-11-15T02:55:17.343Z,6,5,28
4,Chris Crawford,/crawford,grandmaster,656.0,2015-12-09T23:39:03.803Z,7,12,51
5,Ruchi Bhatia,/ruchi798,grandmaster,636.0,2019-06-04T09:32:45.307Z,7,4,0
6,Abhishek Thakur,/abhishek,grandmaster,525.0,2011-01-12T03:44:52Z,7,7,13
7,Vopani,/rohanrao,master,434.0,2013-07-09T05:35:42.833Z,6,0,7
8,Tensor Girl,/usharengaraju,grandmaster,402.0,2015-06-27T10:09:43.2Z,7,3,5
9,Bojan Tunguz,/tunguz,master,363.0,2015-09-11T21:32:16.517Z,1,7,20
10,Murilão,/upadorprofzs,master,338.0,2019-09-20T20:39:08Z,5,1,0
11,Rachael Tatman,/rtatman,master,316.0,2017-07-10T20:29:20.237Z,3,8,39
12,K Scott Mader,/kmader,master,315.0,2012-11-04T17:36:28.017Z,4,7,10
13,Marília Prata,/mpwolke,expert,313.0,2019-03-29T19:09:20.75Z,0,4,25
14,Abigail Larion,/abigaillarion,master,288.0,2016-11-16T19:20:23.057Z,3,3,43
15,Shivam Bansal,/shivamb,expert,283.0,2018-01-22T11:18:04.677Z,2,1,1
16,Roshan Sharma,/roshansharma,master,273.0,2019-05-21T09:21:31.56Z,1,7,5
17,Mathurin Aché,/mathurinache,expert,263.0,2011-10-11T10:41:53.177Z,1,2,7
18,Devakumar kp,/imdevskp,master,259.0,2017-09-30T12:11:49.17Z,1,4,5
19,Alex Shonenkov,/shonenkov,master,257.0,2018-05-17T08:49:26.743Z,2,4,3
20,Prashant Banerjee,/prashant111,master,255.0,2018-05-17T13:27:34.727Z,2,5,5
21,Mitchell J,/datasnaek,expert,246.0,2017-08-28T16:06:16.803Z,3,1,1
22,Firat Gonen,/frtgnn,master,242.0,2018-10-07T15:47:22.923Z,5,2,0
23,Divyansh Agrawal,/divyansh22,master,235.0,2019-06-25T08:56:32.553Z,1,7,6
24,Yury Kashnitsky,/kashnitsky,expert,233.0,2014-03-27T13:30:04.747Z,1,1,3
25,Esther Kim,/ekim01,master,218.0,2015-08-04T03:01:00.323Z,4,3,16
26,shivan kumar,/shivan118,master,218.0,2019-06-11T04:13:09.17Z,1,6,1
27,Gabriel Preda,/gpreda,expert,217.0,2016-10-27T20:37:40.773Z,1,1,11
28,Noah Daniels,/nbdaniels,expert,212.0,2018-03-16T00:33:55.507Z,0,4,23
29,MAINAK CHAUDHURI,/mainakchaudhuri,expert,178.0,2020-04-23T04:55:41.25Z,0,2,11
30,Moore,/imoore,expert,166.0,2020-06-20T10:07:38.033Z,1,3,1
31,Tawara,/ttahara,expert,158.0,2015-11-24T09:34:55.137Z,0,6,1
32,datartist,/kimjihoo,expert,153.0,2019-02-14T08:30:17.813Z,1,0,2
33,Rounak Banik,/rounakbanik,expert,152.0,2017-02-23T20:41:28.607Z,3,0,0
34,Bulent Siyah,/bulentsiyah,expert,148.0,2017-08-04T11:41:28.12Z,0,3,13
35,Gokul Prakash P,/gokulprakash22,master,141.0,2020-08-19T06:36:32.45Z,1,4,0
36,Saleh Ahmed Rony,/salehahmedrony,expert,136.0,2019-09-12T15:53:48.773Z,0,5,2
37,Parul Pandey,/parulpandey,expert,135.0,2015-07-26T17:12:53.843Z,0,3,7
38,DanB,/dansbecker,expert,134.0,2011-04-06T17:55:23.257Z,2,1,11
39,Neha Prabhavalkar,/nehaprabhavalkar,expert,134.0,2019-10-19T12:05:10.187Z,0,2,7
40,Anmol Kumar,/anmolkumar,expert,127.0,2018-04-12T16:45:07.14Z,1,0,8
